,"(0, 1]","(1, 4]","(4, 16]","(16, 64]","(64, 256]","(256, Inf]",DataGen,Params,Model,repnum
456,291.4372448165618,309.2724490865865,317.32808364714055,385.62807436241974,433.7916025838139,380.8515530671218,py,"[1000.0, 0.0]",DP,5
457,192.05820346032297,203.24477796873265,206.4216958875925,243.24236872637968,251.3139003817753,168.01483360339174,py,"[1000.0, 0.0]",NIG,5
458,99.60462721970634,104.60589756163982,103.25069341039963,112.39929445187325,97.43727742107563,138.53159634797572,py,"[1000.0, 0.0]",NGG,5
459,209.6169083824922,214.07031437190895,220.1493803196423,232.14653745607427,253.2511591304254,124.76566933746624,py,"[1000.0, 0.25]",DP,5
460,137.01475926037023,139.34874335555585,141.22225904739835,141.31393683578185,132.44957833010676,115.00250819381962,py,"[1000.0, 0.25]",NIG,5
461,84.13705213348554,84.92741566706852,83.73793863173492,76.04001112262652,61.91731328527276,171.69661390322042,py,"[1000.0, 0.25]",NGG,5
462,112.31170594385962,112.49639557727453,110.97947657798478,97.04647884731762,59.10041475776001,116.79592688940664,py,"[1000.0, 0.5]",DP,5
463,49.79874652776456,48.99086709284321,45.10112491844692,28.92091072858054,49.59062900535385,232.61922837949209,py,"[1000.0, 0.5]",NIG,5
464,67.64102659965994,67.11644354797471,63.90394615684812,47.32793505400356,41.67100326058963,198.9174907115469,py,"[1000.0, 0.5]",NGG,5
465,42.21791147933825,40.81318748438434,36.29627317624928,19.602273606218205,50.259294987916896,,py,"[1000.0, 0.75]",DP,5
466,36.03151360444021,34.60965897546335,29.93034769841822,15.182167942322712,57.92260759417419,,py,"[1000.0, 0.75]",NIG,5
467,52.85112545564818,51.47584568669066,47.23806016310117,29.34713008616046,38.17627780286353,,py,"[1000.0, 0.75]",NGG,5
480,,1.6536409624300632,0.0325642605915081,0.1953855635490491,1.2960575715420075,129.9405177530826,py,"[1.0, 0.0]",DP,3
481,,1.0071970243500958,2.5269888413128596,15.161933047877156,100.5741558842518,10083.393033713875,py,"[1.0, 0.0]",NIG,3
482,,1.2700982059958437,0.9914211516770576,5.948526910062345,39.458561836746895,3956.04799311393,py,"[1.0, 0.0]",NGG,3
483,87.44018945661931,262.7519320473285,440.0836322473529,521.4153333048845,3410.118510418087,2626.6411249690755,py,"[1.0, 0.25]",DP,3
484,43.256894793934904,130.2363376608864,216.04659737154896,245.39317558155415,1628.3210839776875,4345.032179515947,py,"[1.0, 0.25]",NIG,3
485,46.07918448840451,138.70101643254966,230.3573774873542,262.9222211929737,1742.1366912715066,4235.266771541238,py,"[1.0, 0.25]",NGG,3
486,533.2869801931134,1279.532364605839,598.2949655963473,1084.1190388722491,1536.650138351183,4038.805127030084,py,"[1.0, 0.5]",DP,3
487,277.2035105989138,665.0099898196868,307.188082535466,549.7622806742952,737.8038141677545,3433.817176877938,py,"[1.0, 0.5]",NIG,3
