100,1000,10000,100000,DataGen,Params,Model,repnum
11.286867970061405,34.09471878829196,55.95876413802557,393.64584099294734,py,"[10.0, 0.5]",NIG,1
23.533967952463883,116.92416164082925,242.4500529430207,264.8637259920647,py,"[10.0, 0.5]",NGG,1
48.018340692403655,340.29044546139994,1847.5574996265468,11514.686126634175,py,"[10.0, 0.75]",DP,1
30.985802109015307,206.78768759145672,1028.1196114831907,6918.21314820875,py,"[10.0, 0.75]",NIG,1
48.23824918529122,325.98658141102237,1645.8285836904163,8133.658086377803,py,"[10.0, 0.75]",NGG,1
64.48745181054583,217.58305460828046,392.869847714519,575.8358128560427,py,"[100.0, 0.0]",DP,1
48.89550160031454,98.49831391389168,275.27397799488824,1302.7228542763767,py,"[100.0, 0.0]",NIG,1
65.56824163879311,195.65805045305706,122.60331912721318,1280.2870031441616,py,"[100.0, 0.0]",NGG,1
58.82776298548425,290.12672425935955,823.766675470635,1653.153956481317,py,"[100.0, 0.25]",DP,1
45.27798008201957,137.43103440709217,92.5780255948091,1063.9346127459535,py,"[100.0, 0.25]",NIG,1
60.25056899048001,273.4842195026703,489.96850439553765,410.9631801622754,py,"[100.0, 0.25]",NGG,1
79.0060808731007,415.641403723578,1506.3647718961358,5524.99094867482,py,"[100.0, 0.5]",DP,1
64.2450787036854,262.1850385136306,677.3889827653131,1786.643822342242,py,"[100.0, 0.5]",NIG,1
NaN,393.2706831449407,1074.4184639601735,1862.2154954995704,py,"[100.0, 0.5]",NGG,1
79.36886308307044,577.0209031041995,3049.2461736112864,20843.14969966066,py,"[100.0, 0.75]",DP,1
64.7619317337135,360.1263827780385,1740.5642965351103,13907.86843830159,py,"[100.0, 0.75]",NIG,1
NaN,568.2859415233274,2800.6846691063556,15691.800817514248,py,"[100.0, 0.75]",NGG,1
84.09806336062977,601.9390326359159,1581.6727027660702,3105.415450388519,py,"[1000.0, 0.0]",DP,1
70.17563383342485,361.93103100809077,446.4388379393831,2971.9938750769734,py,"[1000.0, 0.0]",NIG,1
NaN,583.1717334553067,1229.0351830551558,455.7023200074036,py,"[1000.0, 0.0]",NGG,1
84.10082000999883,683.5865491337294,2211.1091500824077,6513.250394192778,py,"[1000.0, 0.25]",DP,1
68.505598968103,446.4687140158959,905.0423068714308,1054.2909784244566,py,"[1000.0, 0.25]",NIG,1
86.26331676422961,667.2428658328913,2142.697115907614,1774.557867941182,py,"[1000.0, 0.25]",NGG,1
84.28283402539081,706.9329080253814,3060.212609069999,14196.573962957253,py,"[1000.0, 0.5]",DP,1
70.56261406122474,463.07050853906424,1823.3681881561638,801.3921815415415,py,"[1000.0, 0.5]",NIG,1
NaN,699.7778674177868,3645.2985183730116,8559.952967072459,py,"[1000.0, 0.5]",NGG,1
82.29901388587221,804.3619095760343,3844.0352167175215,32540.32784980254,py,"[1000.0, 0.75]",DP,1
67.67868782899035,564.3491904076284,3433.434639708485,20828.44317781047,py,"[1000.0, 0.75]",NIG,1
NaN,794.143792256694,5296.6793586664935,28379.035221185623,py,"[1000.0, 0.75]",NGG,1
0.009900990098500984,0.0009990009971596603,9.99899974251095e-5,9215.865970480954,zipf,1.3,DP,1
10.194419889586285,31.3185503266643,69.82788238154436,6464.58144759755,zipf,1.3,NIG,1
NaN,NaN,NaN,9525.802447598953,zipf,1.3,NGG,1
0.009900990098501206,0.0009990009971596603,9.998999742522052e-5,1722.549746594835,zipf,1.6,DP,1
10.76790269382186,38.43912128061674,110.11773881468189,343.12839635486534,zipf,1.6,NIG,1
NaN,NaN,NaN,1826.1751724572562,zipf,1.6,NGG,1
0.009900990098500762,0.0009990009971592162,9.998999742522052e-5,531.0515175020952,zipf,1.9,DP,1
9.832471962528547,38.65299666491404,107.67392848099647,512.2506781240668,zipf,1.9,NIG,1
NaN,NaN,NaN,NaN,zipf,1.9,NGG,1
0.009900990098501428,0.0009990009971601044,9.998999742533154e-5,233.79749778114697,zipf,2.2,DP,1
10.573603368791092,33.988368946992175,77.76621652290301,771.7563388999056,zipf,2.2,NIG,1
NaN,NaN,NaN,NaN,zipf,2.2,NGG,1
1.0653466797854185,0.31805551280454747,0.7067345576890176,0.8965694180899781,py,"[1.0, 0.0]",DP,3
13.794125042414713,54.700840861965354,165.68873133308665,910.2350584349882,py,"[1.0, 0.0]",NIG,3
1.2191328409314117,33.76594727954394,88.61326927728157,70.58354919591228,py,"[1.0, 0.0]",NGG,3
3.636858105752987,19.34276452116417,44.616794006941845,74.96958763569148,py,"[1.0, 0.25]",DP,3
8.274483554817255,47.13506642023211,227.88254744340855,634.5771964233414,py,"[1.0, 0.25]",NIG,3
2.908753169666312,19.712113496524424,109.92809193674529,402.3972312135214,py,"[1.0, 0.25]",NGG,3
12.12456192590882,75.80874781399162,253.1502130277341,854.1259571597734,py,"[1.0, 0.5]",DP,3
3.3458196176251747,17.764441517011022,119.61367614685048,276.87468053749444,py,"[1.0, 0.5]",NIG,3
11.126221623317935,42.63408508588669,58.36839592001439,348.6095109004684,py,"[1.0, 0.5]",NGG,3
27.262759808979215,176.39528888695904,988.3851116592907,5927.885761587392,py,"[1.0, 0.75]",DP,3
11.782463722373986,65.41118583824502,406.9376187656384,3642.3015202620995,py,"[1.0, 0.75]",NIG,3
27.561823324617265,158.03500401985127,762.9616399544207,3747.996226638827,py,"[1.0, 0.75]",NGG,3
16.67510964245107,37.20246828824023,58.95697807054221,82.56026898667936,py,"[10.0, 0.0]",DP,3
