"(0, 1]","(1, 4]","(4, 16]","(16, 64]","(64, 256]","(256, Inf]",DataGen,Params,Model,J,repnum
66.75414664392864,104.32695695947685,130.9973873285436,316.14391143911377,1265.7044334975365,5247.343434343432,py,"[10.0, 0.75]",D-CMS,100,10
59.71120756471564,96.68537628995766,125.18092749836688,310.422509225092,1294.6995073891626,5237.838383838382,py,"[10.0, 0.75]",D-CMS,500,10
26186.932568594093,26161.479989932133,26177.524493794877,25928.76383763839,25121.77832512317,21154.121212121212,py,"[10.0, 0.75]",D-CMS,1000,10
75.28427128427127,104.84201388888891,270.1563218390805,867.6903409090908,2419.303278688526,4645.995327102802,py,"[100.0, 0.25]",D-CMS,50,10
43.06854256854247,69.78402777777781,241.48666666666665,856.9784090909084,2415.385245901639,4658.746728971962,py,"[100.0, 0.25]",D-CMS,100,10
78.06782106782134,90.10416666666684,287.4988505747129,936.2840909090909,2490.4303278688535,4740.686915887849,py,"[100.0, 0.25]",D-CMS,500,10
28315.18614718617,28290.081597222255,28191.26206896553,27369.5028409091,25645.76229508197,22844.803738317758,py,"[100.0, 0.25]",D-CMS,1000,10
171.81322119523625,179.45683255430296,209.25485961123138,290.01609848484867,655.6404494382023,1878.804878048781,py,"[100.0, 0.75]",D-CMS,50,10
119.1266949882247,128.71891668957934,160.9636429085673,242.32556818181783,630.9511235955056,1921.8991869918693,py,"[100.0, 0.75]",D-CMS,100,10
90.18809920202239,101.29172394830923,134.4038876889846,210.6676136363636,621.3792134831459,1933.3658536585367,py,"[100.0, 0.75]",D-CMS,500,10
9034.121333027118,9027.999862524106,8988.614470842338,8905.831439393934,8501.132022471907,7156.463414634145,py,"[100.0, 0.75]",D-CMS,1000,10
359.1895082765348,355.27047321722006,385.26576846307387,454.75245098039187,622.9854192740922,943.7835365853659,py,"[1000.0, 0.25]",D-CMS,50,10
187.2851509250232,191.51143608281325,229.72986027944108,326.62892156862785,575.3060075093866,1108.4890243902446,py,"[1000.0, 0.25]",D-CMS,100,10
138.147760467381,149.49983568846525,177.77005988023927,286.98774509803894,543.4142678347931,1090.2256097560976,py,"[1000.0, 0.25]",D-CMS,500,10
3043.24975657254,3024.130463358526,2969.186027944107,2854.5857843137287,2545.0976220275325,1978.1951219512207,py,"[1000.0, 0.25]",D-CMS,1000,10
175.25310916177952,178.45206091046873,182.88617818484497,202.4556363636366,287.9415676959618,342.14893617021283,py,"[1000.0, 0.75]",D-CMS,50,10
131.4396231318971,131.9824683090175,139.92081598667733,153.7055757575756,256.3555819477433,296.64893617021266,py,"[1000.0, 0.75]",D-CMS,100,10
90.61674788823512,92.03543809295994,100.56994171523738,122.09151515151511,256.6116389548696,321.28723404255305,py,"[1000.0, 0.75]",D-CMS,500,10
