ndata,model,mean_fn,error_J_50,error_J_100,error_J_500,error_J_1000,PY_THETA,PY_ALPHA,repnum
100000,NGG,avg,25631.70881789617,25550.778110968284,25128.78921341944,26114.622743316417,1000.0,0.75,5
100000,DP,geom,33816.003930070845,33332.31268232229,31606.930636863937,29641.671133360578,1000.0,0.75,5
100000,DP,avg,33724.061024678405,33289.21097522589,31605.98645375584,29641.671133360578,1000.0,0.75,5
250000,NGG,geom,47676.4436181563,48310.516360045745,51001.953390152805,50427.08522146838,1000.0,0.75,5
250000,NGG,avg,49025.60949999869,48455.15413942661,49572.81453568619,50235.32577649194,1000.0,0.75,5
250000,DP,geom,73808.00249656186,73630.35154484464,70722.57991807777,68468.6562693327,1000.0,0.75,5
250000,DP,avg,73728.26277707622,73530.07894386351,70722.31195402182,68468.65626933271,1000.0,0.75,5
5000,NGG,geom,2704.3712271608115,2700.5443365418905,2716.6173730613464,2764.887075649817,1000.0,0.75,2
5000,NGG,avg,2689.223219812109,2697.582579752793,2706.0117942429233,2740.6957618989436,1000.0,0.75,2
5000,DP,geom,2311.331311566079,2200.1867145735923,2045.838188250857,1943.2793099518767,1000.0,0.75,2
5000,DP,avg,2300.3142016843185,2196.150816318758,2045.7307306887533,1943.2793099518765,1000.0,0.75,2
10000,NGG,geom,4643.870844992924,4656.094499160563,4593.1044863460875,4594.519525978208,1000.0,0.75,2
10000,NGG,avg,4616.387887641142,4658.563129411596,4643.42402868383,4653.1707587773235,1000.0,0.75,2
10000,DP,geom,4088.6481043509557,4096.174100362639,3645.7366128008894,3299.230475767347,1000.0,0.75,2
10000,DP,avg,4074.392137603737,4081.88236048471,3645.6368809711757,3299.230475767347,1000.0,0.75,2
100000,NGG,geom,24909.355640173624,25196.438910343193,25072.21441733165,25228.483784586075,1000.0,0.75,2
100000,NGG,avg,24748.89204434355,24655.84579687381,24871.754786563943,25346.307414982115,1000.0,0.75,2
100000,DP,geom,34212.0572258374,33684.51122247741,31429.93903305724,29832.774844035423,1000.0,0.75,2
100000,DP,avg,34155.27430923991,33656.168250246206,31428.930204188655,29832.77484403542,1000.0,0.75,2
250000,NGG,geom,47342.10119953251,46649.825701448055,46761.591857485204,48203.98555285332,1000.0,0.75,2
250000,NGG,avg,46792.2991029625,47356.537192821306,45922.78333542787,47813.72701051039,1000.0,0.75,2
250000,DP,geom,73817.21578083301,72543.87251006995,70038.88323083168,67804.46213134982,1000.0,0.75,2
250000,DP,avg,73757.79539548824,72499.32692698496,70038.87976287481,67804.46213134984,1000.0,0.75,2
5000,NGG,geom,922.9736433559272,990.9498736051129,1201.1633438260624,1298.8053264494495,10.0,0.75,8
5000,NGG,avg,922.639419902627,996.7900978373016,1208.6194011468783,1300.6345252295143,10.0,0.75,8
5000,DP,geom,1309.4074020644953,1264.1389909062182,1156.65210733865,1147.637281958434,10.0,0.75,8
5000,DP,avg,1308.351495747966,1263.9770726130625,1156.3793293260208,1147.637281958434,10.0,0.75,8
10000,NGG,geom,1585.873166996555,1638.2312638943,1802.9724203899034,1925.0526933828012,10.0,0.75,8
10000,NGG,avg,1589.889329231771,1664.4296721748476,1823.5641163678142,1898.6217872118623,10.0,0.75,8
10000,DP,geom,2308.96127363077,2221.911243255498,1872.5851166771004,1749.778681433986,10.0,0.75,8
10000,DP,avg,2308.1901102748825,2221.702342389833,1872.5850902798418,1749.7786814339863,10.0,0.75,8
