"(0, 1]","(1, 4]","(4, 16]","(16, 64]","(64, 256]","(256, Inf]",DataGen,Params,Model,J,repnum
103.69130515521798,102.97353624715103,98.66528274317858,89.90717444098891,75.73388217124949,205.85841138409606,py,"[1000.0, 0.75]",DP,1000,17
22.680427294011526,88.91536964404683,1198.3056656326958,791.7344128445895,2714.704866081285,15575.948438095018,py,"[10.0, 0.25]",DP,100,9
31.42282889270652,129.8165810295177,1872.5702527743724,1203.8931458449852,4226.212916522509,25108.946697389503,py,"[10.0, 0.25]",DP,500,9
56.52066535107612,140.7321737158219,1906.182044242182,1224.7149064323762,4294.425146940416,25579.908045386055,py,"[10.0, 0.25]",DP,1000,9
185.55047565691504,186.29043920552184,190.0953310519168,212.15134098821673,289.18270105519105,2086.4022102572844,py,"[10.0, 0.75]",DP,100,9
124.00988324600218,122.9665764492618,155.74850603010097,298.1615178068349,852.6433060471555,4836.509222063059,py,"[10.0, 0.75]",DP,500,9
388.21932746928474,342.6875669062798,498.61086111404165,411.7176043192893,1222.9211673727534,7006.944392276472,py,"[10.0, 0.75]",DP,1000,9
50.163978572632566,64.86722835661334,134.52613158296467,232.68901530903685,598.3176900819491,1749.4813070300843,py,"[100.0, 0.25]",DP,100,9
65.21701715260139,122.5864792737137,301.9840739210176,571.1509709397438,1714.603006138465,7468.154091176597,py,"[100.0, 0.25]",DP,500,9
489.13331060963304,541.9860960274183,621.4151198409761,856.8177592841067,2187.0719677307266,9110.901115852954,py,"[100.0, 0.25]",DP,1000,9
136.49552309335212,135.39624971595848,131.75933140534542,114.55240111739336,74.12053385581048,670.1830760255455,py,"[100.0, 0.75]",DP,100,9
171.937607118934,175.22871694267107,183.0474515513121,209.3855290553725,339.8066126449998,623.2429417051771,py,"[100.0, 0.75]",DP,500,9
262.47490191463595,257.363704982295,284.6779238139439,311.7400937138967,552.634352745537,1042.3477751921712,py,"[100.0, 0.75]",DP,1000,9
102.01651433002172,100.33391945241372,95.14732748045887,76.87897075101054,44.67039402267462,358.8144405630023,py,"[1000.0, 0.25]",DP,100,9
180.05465958989984,179.69431741018255,187.02951329172433,230.37266538815373,342.7278672328256,491.2917351075064,py,"[1000.0, 0.25]",DP,500,9
275.7676930136627,286.866661982151,304.6093335206259,389.05073169451964,563.6899229707979,1040.0757518420723,py,"[1000.0, 0.25]",DP,1000,9
20.26693543018875,18.739263758941842,13.079756355650089,11.358939882415616,94.30752374229337,418.2263716705709,py,"[1000.0, 0.75]",DP,100,9
72.11785692295737,70.46660261583895,66.30521458320382,47.67998056721641,42.987574812804375,288.8421927882632,py,"[1000.0, 0.75]",DP,500,9
107.39131633883669,107.23512047951289,103.83463467358261,93.30317544177542,86.56846006203129,189.85410820040278,py,"[1000.0, 0.75]",DP,1000,9
21.438819480017184,86.94366608835921,235.43828939145047,639.4383474285844,2977.1040768179105,15285.819990649255,py,"[10.0, 0.25]",DP,100,5
30.417455876150367,130.84733213243408,356.9824520243838,997.5986719479752,4721.103743589146,24150.250725585007,py,"[10.0, 0.25]",DP,500,5
