"(0, 1]","(1, 4]","(4, 16]","(16, 64]","(64, 256]","(256, Inf]",DataGen,Params,Model,J,repnum
2307.685185185178,2321.64984002844,2357.8829431438085,2475.642073170739,2821.740696278514,3306.3287671232856,py,"[1000.0, 0.25]",CMS,50,1
1016.5912884715791,1030.589406327759,1070.75543478261,1202.7371951219523,1553.7527010804329,2061.1095890410957,py,"[1000.0, 0.25]",CMS,100,1
244.0359937402196,253.86029150373176,295.10409698996637,435.6439024390239,746.1812725090026,1318.0205479452047,py,"[1000.0, 0.25]",CMS,500,1
252.15571205007828,260.9541414859583,315.7232441471568,428.05060975609706,773.6254501800726,1242.8972602739727,py,"[1000.0, 0.25]",CMS,1000,1
3717.3433180857314,3716.643090142439,3731.371601840238,3779.753894081003,3888.340050377832,4045.49152542373,py,"[1000.0, 0.75]",CMS,50,1
1799.5968389814766,1800.4246956798586,1810.7572145545814,1854.239252336446,1945.576826196473,2076.525423728814,py,"[1000.0, 0.75]",CMS,100,1
373.2769989998704,377.2195083141046,390.0087829360108,429.83302180685337,548.2695214105792,682.7118644067797,py,"[1000.0, 0.75]",CMS,500,1
252.86375485710712,254.42763943034743,264.3092848180678,310.25046728971967,429.1309823677579,593.8813559322034,py,"[1000.0, 0.75]",CMS,1000,1
43.77124183006538,80.62857142857146,445.26595744680844,807.2153846153847,3042.48076923077,11980.415384615384,py,"[10.0, 0.25]",CMS,50,10
43.77124183006538,80.62857142857146,445.26595744680844,807.2153846153847,3042.48076923077,11980.415384615384,py,"[10.0, 0.25]",CMS,100,10
43.77124183006538,80.62857142857146,445.26595744680844,807.2153846153847,3042.48076923077,11980.415384615384,py,"[10.0, 0.25]",CMS,500,10
100.04575163398712,147.88571428571433,496.36170212765944,811.3384615384614,3045.750000000001,11981.446153846153,py,"[10.0, 0.25]",CMS,1000,10
1033.8711827623708,1069.7387364711828,1107.6734160679293,1294.0387453874534,2278.9064039408854,6241.858585858585,py,"[10.0, 0.75]",CMS,50,10
472.0395804267986,511.82079033475907,545.1587197909869,751.2656826568256,1733.423645320197,5725.353535353537,py,"[10.0, 0.75]",CMS,100,10
123.02821268020888,162.49358167631564,194.43892880470293,392.85793357933613,1396.7980295566504,5344.303030303029,py,"[10.0, 0.75]",CMS,500,10
253.0674314059815,278.52001006795956,262.47550620509503,511.23616236162377,1318.221674876847,5285.878787878788,py,"[10.0, 0.75]",CMS,1000,10
152.37229437229422,184.4809027777776,359.36551724137956,973.3607954545457,2533.0081967213127,4759.042056074772,py,"[100.0, 0.25]",CMS,50,10
71.60606060606048,99.0902777777779,273.94252873563204,897.2585227272729,2459.147540983607,4702.116822429908,py,"[100.0, 0.25]",CMS,100,10
78.91919191919213,91.94444444444461,292.33103448275875,945.1818181818182,2502.258196721312,4752.322429906542,py,"[100.0, 0.25]",CMS,500,10
234.81385281385286,259.91840277777806,358.73793103448327,1180.4971590909095,2904.2377049180323,5705.196261682244,py,"[100.0, 0.25]",CMS,1000,10
2227.9277513060047,2233.3647236733455,2272.203743700499,2381.750946969696,2788.455056179778,4125.235772357723,py,"[100.0, 0.75]",CMS,50,10
1037.269676789754,1048.9179268627918,1090.2919366450685,1188.72821969697,1636.4578651685395,2982.081300813009,py,"[100.0, 0.75]",CMS,100,10
238.94020896721946,251.59527082760522,288.61195104391646,373.24715909090855,817.9410112359553,2173.2439024390246,py,"[100.0, 0.75]",CMS,500,10
254.8786669728438,261.000137475941,300.3855291576681,383.16856060606057,787.8679775280898,2132.536585365853,py,"[100.0, 0.75]",CMS,1000,10
2305.1263388510306,2324.014130791983,2366.3205588822293,2510.87806372549,2817.1188986232755,3333.9695121951204,py,"[1000.0, 0.25]",CMS,50,10
1017.394109055504,1033.1873151495215,1073.1572854291417,1200.3596813725492,1526.707133917398,2149.89024390244,py,"[1000.0, 0.25]",CMS,100,10
242.35418695228933,253.69043706868177,289.45389221556843,418.42401960784343,727.346683354193,1349.9329268292672,py,"[1000.0, 0.25]",CMS,500,10
248.75024342745965,267.8695366414717,322.8139720558884,437.4142156862742,746.9023779724644,1313.8048780487793,py,"[1000.0, 0.25]",CMS,1000,10
3765.969899285665,3771.6435462011464,3773.359283930083,3813.7836363636366,3956.80997624703,4093.978723404256,py,"[1000.0, 0.75]",CMS,50,10
