100,1000,10000,100000,DataGen,Params,Model,repnum
NaN,22.155037190986796,131.06682669618078,565.1208265004436,zipf,2.2,NGG,2
38.504380606842346,250.66799663078518,1379.2845563040732,9222.948461037808,zipf,1.3,DP,8
NaN,237.28034371449118,1169.0454565805273,6531.589625713674,zipf,1.3,NGG,8
16.590709059718215,91.81646560810178,388.850860228712,1645.4535461954376,zipf,1.6,DP,8
NaN,50.31934336959861,150.82187909906247,411.4877054019621,zipf,1.6,NGG,8
4.586925702187019,41.1123574828411,151.83807532321848,522.1617687195509,zipf,1.9,DP,8
3.845484091568979,7.868908110545036,92.07704715177545,115.56726671687682,zipf,1.9,NGG,8
3.605569124648701,22.12211830513579,82.69996493031428,223.48494445573743,zipf,2.2,DP,8
NaN,8.633483085804095,117.50825776858926,496.7257095610371,zipf,2.2,NGG,8
40.74038198951482,254.48354964714892,1380.6633522242475,9259.14039620808,zipf,1.3,DP,4
NaN,240.4102133244546,1122.1377486566932,6837.13265271057,zipf,1.3,NGG,4
17.028943721877326,88.42471987754031,385.6586944957825,1644.5970301986338,zipf,1.6,DP,4
NaN,49.19216929193586,88.24330154044611,344.393293547952,zipf,1.6,NGG,4
9.064044164277892,39.61510508340068,150.2674252768949,552.7641409367977,zipf,1.9,DP,4
NaN,6.674007278383407,109.17606589331126,450.8284448965667,zipf,1.9,NGG,4
3.7316846493324363,26.483772665729326,73.6796946040021,213.27487479408248,zipf,2.2,DP,4
3.5746542677428206,11.583482607127237,136.9711676951919,903.3578298487389,zipf,2.2,NGG,4
